질문,답변
천연 비료는 어떤 국가에 수출되었나요?,"천연 비료(HS코드: 310100)은 베트남(18,583,561달러), 일본(3,069,529달러), 중국(351,771달러), 독일(25,560달러), 대만(14,000달러), 인도(7,070달러), 태국(1,008달러), 호주(132달러) 순으로 수출되었습니다."
천연 성분 세제는 어떤 국가에 수출되었나요?,"천연 성분 세제(HS코드: 340290)은 중국(67,642,350달러), 대만(61,798,946달러), 베트남(21,130,645달러), 일본(4,903,119달러), 미국(2,949,693달러), 인도(2,601,270달러), 태국(2,219,033달러), 호주(816,574달러), 독일(378,457달러), 프랑스(16,461달러) 순으로 수출되었습니다."
실리콘 식기/빨대는 어떤 국가에 수출되었나요?,"실리콘 식기/빨대(HS코드: 392490)은 미국(22,236,298달러), 베트남(7,365,589달러), 대만(3,837,307달러), 중국(3,094,229달러), 일본(2,823,285달러), 호주(1,379,348달러), 태국(340,433달러), 인도(255,233달러), 독일(224,802달러), 프랑스(205,720달러) 순으로 수출되었습니다."
천연 고무 라텍스는 어떤 국가에 수출되었나요?,"천연 고무 라텍스(HS코드: 400110)은 베트남(18,866달러), 미국(1,721달러), 인도(1,473달러), 일본(1,386달러) 순으로 수출되었습니다."
"종이 빨대, 포장재는 어떤 국가에 수출되었나요?","종이 빨대, 포장재(HS코드: 482390)은 중국(11,390,507달러), 미국(9,260,153달러), 프랑스(2,409,259달러), 일본(1,978,715달러), 베트남(1,790,895달러), 호주(621,817달러), 인도(551,781달러), 대만(239,983달러), 태국(115,232달러), 독일(45,493달러) 순으로 수출되었습니다."
유기농 면화는 어떤 국가에 수출되었나요?,"유기농 면화(HS코드: 520100)은 일본(661,509달러), 베트남(471,619달러), 대만(1,307달러), 미국(514달러), 호주(179달러), 인도(97달러), 프랑스(4달러) 순으로 수출되었습니다."
"슬래그 울, 단열재는 어떤 국가에 수출되었나요?","슬래그 울, 단열재(HS코드: 680610)은 베트남(5,680,095달러), 미국(5,658,677달러), 일본(3,677,760달러), 인도(2,288,653달러), 대만(1,506,039달러), 중국(796,717달러), 태국(236,069달러), 호주(55,167달러), 프랑스(259달러) 순으로 수출되었습니다."
금속 빨대는 어떤 국가에 수출되었나요?,"금속 빨대(HS코드: 821599)은 미국(2,157,839달러), 중국(177,779달러), 태국(118,481달러), 프랑스(112,006달러), 호주(103,779달러), 대만(85,915달러), 베트남(57,980달러), 일본(27,008달러), 독일(3,499달러), 인도(3,333달러) 순으로 수출되었습니다."
태양열 집열기는 어떤 국가에 수출되었나요?,"태양열 집열기(HS코드: 841919)은 미국(1,155,993달러), 일본(619,256달러), 베트남(607,429달러), 중국(156,694달러), 대만(49,254달러), 독일(30,546달러), 호주(3,381달러), 태국(1,395달러), 인도(713달러), 프랑스(588달러) 순으로 수출되었습니다."
풍력 터빈용 발전기는 어떤 국가에 수출되었나요?,"풍력 터빈용 발전기(HS코드: 850231)은 미국(582,642달러), 태국(54,000달러), 일본(9,056달러), 호주(1,685달러) 순으로 수출되었습니다."
전력 변환장치 (인버터)은 어떤 국가에 수출되었나요?,"전력 변환장치 (인버터)(HS코드: 850440)은 미국(259,634,187달러), 중국(96,121,155달러), 베트남(46,640,712달러), 일본(33,507,523달러), 대만(28,023,486달러), 독일(24,776,976달러), 인도(22,721,403달러), 태국(5,206,030달러), 프랑스(3,892,147달러), 호주(2,833,375달러) 순으로 수출되었습니다."
전기차용 리튬이온 배터리는 어떤 국가에 수출되었나요?,"전기차용 리튬이온 배터리(HS코드: 850760)은 미국(3,154,024,638달러), 중국(358,349,600달러), 일본(221,314,395달러), 인도(184,756,004달러), 베트남(171,621,676달러), 독일(92,902,816달러), 대만(72,545,727달러), 프랑스(53,918,215달러), 호주(23,884,721달러), 태국(10,157,871달러) 순으로 수출되었습니다."
전기자동차는 어떤 국가에 수출되었나요?,"전기자동차(HS코드: 870380)은 미국(1,519,692,514달러), 독일(834,581,644달러), 프랑스(215,291,279달러), 호주(145,828,508달러), 인도(29,689,493달러), 대만(17,252,810달러), 태국(15,731,450달러), 일본(10,016,211달러), 중국(7,513,050달러) 순으로 수출되었습니다."
